path,pages,status
Material\01 - Project Specific\Fixtures\tradelink\1066143_ROCKHAMPTON_SPORTS_PRECINCT.pdf,7,ok
Material\01 - Project Specific\Material\CIVIL SW QUOTE\CIVIL SW DETENTION TANK\ATLAN\26-87004 ROCKHAMPTON NETBALL CENTRE NORMAN GARDENS - TRICORE.pdf,9,ok (longpath)
Material\01 - Project Specific\Material\CIVIL SW QUOTE\CIVIL SW HDPE PIPE\ATLAN\26-87004-1 (SN8) ROCKHAMPTON NETBALL CENTRE NORMAN GARDENS STG 1 - TRICORE.pdf,9,ok (longpath)
Material\01 - Project Specific\Material\CIVIL SW QUOTE\RCP HEADWALL CULVERT ETC\Humes\Humes Service Fees.pdf,1,ok
Material\01 - Project Specific\Material\CIVIL SW QUOTE\RCP HEADWALL CULVERT ETC\Humes\Humes Tender & Contract Terms - Holcim (Australia) Pty Ltd - trading as Humes (April 2026).pdf,1,ok (longpath)
Material\01 - Project Specific\Material\CIVIL SW QUOTE\RCP HEADWALL CULVERT ETC\Humes\Humes Terms Sale.pdf,5,ok
Material\01 - Project Specific\Material\CIVIL SW QUOTE\RCP HEADWALL CULVERT ETC\Humes\HUMES_Q21642316_REV2_TRICORE PLUMBING_ROCKHAMPTON SPORTS PRECINCT #10260517.pdf.pdf,8,ok (longpath)
Material\01 - Project Specific\Material\CIVIL SW QUOTE\RCP HEADWALL CULVERT ETC\Humes\SS_HUME QUOTE.pdf,8,ok
Material\01 - Project Specific\Material\CIVIL SW QUOTE\REECE CIVIL QUOTE FOR ALL\Q-459014445-260716_095312503-line.pdf,6,ok
Material\01 - Project Specific\Material\Hydraulic\APS SEWER STATION\Quote_No_14065 - Rockhampton Sports Precinct.pdf,7,ok (empty-pw decrypt)
Material\01 - Project Specific\Material\Hydraulic\reece all package\equipment and material\Q-459014431-260716_062410652-line.pdf,3,ok
Material\01 - Project Specific\Material\Hydraulic\reece all package\trade waste\Q-459014438-260716_062210445-line.pdf,1,ok
Material\01 - Project Specific\Material\Hydraulic\Tradelink\1065005_TRICORE_PLUMBING_SERVICES_PTY_LTD.pdf,2,ok
Material\01 - Project Specific\Material\Hydraulic\Tradelink\1066334_TRICORE_CIVIL_SERVICES_PTY_LTD.pdf,3,ok
Material\01 - Project Specific\Material\Hydraulic\Tradelink\6595064_ROCKHAMPTON_SPORTS_PRECINCT.pdf,2,ok
Material\01 - Project Specific\Material\quote reference from previous or other project\tlink civil sw\1065005_TRICORE_PLUMBING_SERVICES_PTY_LTD.pdf,2,ok (longpath)
Material\01 - Project Specific\Material\quote reference from previous or other project\tlink copper\1057751_CQU_ROCKHAMPTON_TAFE_CONSOLIDATION.pdf,4,ok
Material\02 - Other Recent ROK Proj\Anaconda_Material\big ticket item\reece\Q-459012370-260213_094206398-line.pdf,2,ok
Material\02 - Other Recent ROK Proj\Anaconda_Material\civil sw pipe\Reece\Q-459012377-260213_065409459-line.pdf,2,ok
"Material\02 - Other Recent ROK Proj\Anaconda_Material\stormack , detention tank, ocean protect chamber package\ocean protect\13C-DN3300-OP-SD.pdf",1,ok
"Material\02 - Other Recent ROK Proj\Anaconda_Material\stormack , detention tank, ocean protect chamber package\ocean protect\19901 - 337-341 Yaamba Rd, NTH ROCKHAMPTON (Anaconda) - Tricore.pdf",5,ok (longpath)
"Material\02 - Other Recent ROK Proj\Anaconda_Material\stormack , detention tank, ocean protect chamber package\ocean protect\20C-DN3300-OP-SD.pdf",1,ok
"Material\02 - Other Recent ROK Proj\Anaconda_Material\stormack , detention tank, ocean protect chamber package\ocean protect\OceanGuard Installation Guide.pdf",20,ok (longpath)
"Material\02 - Other Recent ROK Proj\Anaconda_Material\stormack , detention tank, ocean protect chamber package\ocean protect\StormFilter Installation Guide.pdf",8,ok (longpath)
"Material\02 - Other Recent ROK Proj\Anaconda_Material\stormack , detention tank, ocean protect chamber package\ocean protect\UrbanPond-Flyer-2024.pdf",2,ok (longpath)
"Material\02 - Other Recent ROK Proj\Anaconda_Material\stormack , detention tank, ocean protect chamber package\ocean protect\UrbanPond-Installation-Manual_2024.pdf",16,ok (longpath)
"Material\02 - Other Recent ROK Proj\Anaconda_Material\stormack , detention tank, ocean protect chamber package\ocean protect\UrbanPond-OP-WO_OUTLET.pdf",4,ok (longpath)
Material\02 - Other Recent ROK Proj\CQUTafe_Material\big ticket and misc\aps pumps\Quote_No_13825 - CQU Rockhampton.pdf,15,ok (empty-pw decrypt)
Material\02 - Other Recent ROK Proj\CQUTafe_Material\big ticket and misc\jaybro\Tricore Civil - Pits.pdf,2,ok
Material\02 - Other Recent ROK Proj\CQUTafe_Material\big ticket and misc\Reece\Q-459013148-260414_11241617-line.pdf,7,ok
Material\02 - Other Recent ROK Proj\CQUTafe_Material\big ticket and misc\tradelink\1057331_TRICORE_PLUMBING_SERVICES_PTY_LTD 260420.pdf,5,ok
Material\02 - Other Recent ROK Proj\CQUTafe_Material\big ticket and misc\tradelink\1057331_TRICORE_PLUMBING_SERVICES_PTY_LTD.pdf,5,ok
Material\02 - Other Recent ROK Proj\CQUTafe_Material\big ticket and misc\tradelink\1057751_CQU_ROCKHAMPTON_TAFE_CONSOLIDATION copper.pdf,4,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Fixtures\1060158_NAS-ROCKHAMPTON_WAREHOUSE.pdf,4,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Fixtures\1067047_NAS_OFFICE_&_WAREHOUSE_-_26608534.pdf,5,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\civil storm water pipe line\tradelink\1065005_TRICORE_PLUMBING_SERVICES_PTY_LTD.pdf,2,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\hydraluic material\reece\Q-459014437-260716_11061860-line.pdf,4,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\hydraluic material\tradelink\1066369_TRICORE_CIVIL_SERVICES_PTY_LTD.pdf,6,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\humes\DIRECT DEPOSIT DETAILS .pdf,1,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\humes\Humes Service Fees.pdf,1,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\humes\Humes Tender & Contract Terms - Holcim (Australia) Pty Ltd - trading as Humes (April 2026).pdf,1,ok (longpath)
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\humes\Humes Terms Sale.pdf,5,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\humes\HUMES_Q21641195_REV1_TRICORE PLUMBING_260701 - 787 YAAMBA ROAD PARKHURST #10260567.pdf,7,ok (longpath)
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\jaybro\tricore 20043160.pdf,2,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\tradelink\1065005_TRICORE_PLUMBING_SERVICES_PTY_LTD.pdf,2,ok
Material\02 - Other Recent ROK Proj\NAS_Material\Material\pit and headwall\tradelink\ss_1065005_TRICORE_PLUMBING_SERVICES_PTY_LTD.pdf,2,ok
Tender Docs\260701-Paynters\NQL2024-0320 AC Rev0 Geotechnical Investigation.pdf,184,ok
Tender Docs\260701-Paynters\00 Invitation to Tender\26-148 Invitation to Tender Letter.pdf,3,ok
Tender Docs\260701-Paynters\01 Drawings\VOL 20 - SE_12306_SKT_CMP_SUB-STAGES_B.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\260701 Club house hydraulic Combine T1.pdf,12,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-000-T1 COVER SHEET.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-001-T1 LEGEND AND SYMBOLS.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-002-T1 HYDRAULIC NOTES.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-100-T1 GROUND FLOOR SANITARY PLUMBING LAYOUT - PART 1.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-101-T1 GROUND FLOOR SANITARY PLUMBING LAYOUT - PART 2.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-102-T1 GROUND FLOOR SANITARY PLUMBING LAYOUT - PART 3.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-103-T1 ROOF LEVEL STORM WATER LAYOUT.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-200-T1 GROUND FLOOR WATER RETICULATION LAYOUT - PART 1.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-201-T1 GROUND FLOOR WATER RETICULATION LAYOUT - PART 2.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-202-T1 GROUND FLOOR WATER RETICULATION LAYOUT - PART 3.pdf,1,ok (longpath)
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-300-T1 DETAILS.pdf,1,ok
Tender Docs\260701-Paynters\01 Drawings\1. Clubhouse (NBC)\Vol 06. Hydraulic Services\H-NBC-301-T1 DETAILS.pdf,1,ok
