cell,formula,cached_value
A1,,BUILDING 92
A2,,GROUNDWORKS
A3,,Code
B3,,Description
C3,,Quantity
D3,,Unit
E3,,Rate
F3,,Total
B4,,WORK MEASURED IN OTHER SECTIONS
A5,,T04.1
B5,,Stormwater drainage included in T32 HYDRAULICS
D5,,Note
B6,,PRELIMINARIES
A7,,T04.2
B7,,Site establishment & demobilisation
C7,,1
D7,,item
E7,,51750
F7,=C7*E7,51750
A8,,T04.3
B8,,Survey set-out
C8,,1
D8,,item
E8,,9200
F8,=C8*E8,9200
A9,,T04.4
B9,,As constructed survey
C9,,1
D9,,item
E9,,8050
F9,=C9*E9,8050
B10,,EROSION AND SEDIMENT CONTROL
A11,,T04.5
B11,,Allow for erosion and sediment control
C11,,1
D11,,item
E11,,13800
F11,=C11*E11,13800
B12,,EXCAVATION
B13,,Siteworks
A14,,T04.6
B14,,"Clear the site of all vegetable matter, debris, rubbish etc.; including trees <= 500 girth complete with stumps and roots"
C14,,8009
D14,,m2
E14,,5.4625
F14,=C14*E14,43749.162500000006
A15,,T04.7
B15,,Excavate to remove top soil average 200 mm deep
C15,,8009
D15,,m2
E15,,22.425
F15,=C15*E15,179601.825
B16,,Bulk Excavation
B17,,Refer to Addendum 11 for further details
A18,,T04.8
B18,,Bulk earthwork; commencing at reduced level; bulk cut
C18,,518
D18,,m3
E18,,43.7
F18,=C18*E18,22636.600000000002
A19,,T04.9
B19,,Allow for imported fill placed in layers not exceeding 200 mm thick
C19,,2735
D19,,m3
E19,,105.8
F19,=C19*E19,289363
A20,,T04.10
B20,,Allow to proof roll sub-grade at pad level
C20,,8009
D20,,m2
E20,,4.025
F20,=C20*E20,32236.225000000002
A21,,T04.11
B21,,"Allow to trim, grade open excavated sub-grade"
C21,,8009
D21,,m2
E21,,4.8875
F21,=C21*E21,39143.9875
B22,,FILLING AND HARDCORE
A23,,T04.12
B23,,"100 mm Thick Type 2.3 (CBR45%) material to building area :[4,291 m2]"
C23,,430
D23,,m3
E23,,135.7
F23,=C23*E23,58350.99999999999
B24,,Total
F24,=SUM(F7:F23),747881.8
A26,,EXTERIOR ELEMENTS
A27,,Code
B27,,Description
C27,,Quantity
D27,,Unit
E27,,Rate
F27,,Total
B28,,"ROADS, FOOTPATHS AND PAVED AREAS"
B29,,External Pavements
A30,,T37.1
B30,,Concrete Crossover - 175 mm Thick concrete crossover with SL92 reinforcing fabric and necessary formwork as per Rockhampton Regional Council STD drawing CMDG-R-42
C30,,324
D30,,m2
E30,,189.75
F30,=C30*E30,61479
A31,,T37.2
B31,,Pavement Type 1 - 125 mm Deep pedestrian grade insitu coloured concrete CCS Prairie with light acid wash finish [PA1]
C31,,118
D31,,m2
E31,,155.25
F31,=C31*E31,18319.5
A32,,T37.3
B32,,Pavement Type 2 - 125 mm Deep pedestrian grade insitu coloured concrete CCS Paperbark with light acid wash finish [PA2]
C32,,56
D32,,m2
E32,,155.25
F32,=C32*E32,8694
A33,,T37.4
B33,,Pavement Type 3 - 125 mm Deep pedestrian grade insitu concrete with light acid wash finish [PA3]
C33,,564
D33,,m2
E33,,155.25
F33,=C33*E33,87561
A34,,T37.5
B34,,Tie into existing pavement
C34,,20
D34,,m
E34,,109.25
F34,=C34*E34,2185
A35,,T37.6
B35,,Allow for joints
C35,,1060
D35,,m2
E35,,9.775
F35,=C35*E35,10361.5
B36,,"125 mm Deep pedestrian grade insitu coloured concrete footpath to match Landscape [PA1, PA2]"
C36,,89
D36,,m2
E36,,155.25
F36,=C36*E36,13817.25
B37,,External Road Pavements
A38,,T37.7
B38,,"D&C concrete slab including finish, falls and drainage"
C38,,487
D38,,m2
E38,,212.75
F38,=C38*E38,103609.25
A39,,T37.8
B39,,"Proposed Pavement Type 2 - Compacted subgrade, varying depth imported CBR 10%, 125 mm thick Type 2.3 (CBR 45%) subbase, 125 mm thick Type 2.1 (CBR 80%) base and 50 mm thick AC14 dense graded asphalt wearing course"
C39,,665
D39,,m2
E39,,212.75
F39,=C39*E39,141478.75
A40,,T37.9
B40,,"Proposed Pavement Type 3 - Compacted subgrade, 120 mm thick Type 2.3 (CBR 45%) subbase and 180 mm thick 32MPa concrete slab with SL82 mesh top cover including necessary formwork"
C40,,254
D40,,m2
E40,,218.5
F40,=C40*E40,55499
A41,,T37.10
B41,,Tie in to existing pavement as per Granular Pavement Joint Detail on Civil drawing C140
C41,,16
D41,,m
E41,,138
F41,=C41*E41,2208
A42,,T37.11
B42,,Allow for joints not shown
C42,,977
D42,,m2
E42,,9.775
F42,=C42*E42,9550.175000000001
B43,,Linemarking
A44,,T37.12
B44,,Allow for linemarking to new road
C44,,1
D44,,item
E44,,8625
F44,=C44*E44,8625
B45,,Kerb Ramps
A46,,T37.13
B46,,Pedestrian kerb ramp
C46,,1
D46,,no
E46,,4025
F46,=C46*E46,4025
B47,,Kerbs
A48,,T37.14
B48,,150 mm x 300 mm High barrier kerb as per Civil drawing C140 [BK]
C48,,214
D48,,m
E48,,258.75
F48,=C48*E48,55372.5
B49,,Barrier kerb and channel [BKC]
C49,,73
D49,,m
E49,,373.75
F49,=C49*E49,27283.75
A51,,BUILDING 21A
A52,,GROUNDWORKS
A53,,Code
B53,,Description
C53,,Quantity
D53,,Unit
E53,,Rate
F53,,Total
B54,,GENERAL CLARIFICATIONS
A55,,T04.1
B55,,"Refer drawing CQU-ROK-21A-G-ARC-20-01, CQU-ROK-21A-G-ARC-21-00"
D55,,Note
B56,,PRELIMINARIES
A57,,T04.2
B57,,Site establishment & demobilisation
C57,,1
D57,,item
E57,,3450
F57,=C57*E57,3450
A58,,T04.3
B58,,Survey set-out
C58,,1
D58,,item
E58,,1150
F58,=C58*E58,1150
A59,,T04.4
B59,,As constructed survey
C59,,1
D59,,item
E59,,1150
F59,=C59*E59,1150
B60,,EROSION AND SEDIMENT CONTROL
A61,,T04.5
B61,,Allow for erosion and sediment control
C61,,1
D61,,item
E61,,1725
F61,=C61*E61,1725
B62,,EXCAVATION
B63,,Siteworks
A64,,T04.6
B64,,"Clear the site of all vegetable matter, debris, rubbish etc.; including trees <= 500 girth complete with stumps and roots, if required"
C64,,93
D64,,m2
E64,,5.4625
F64,=C64*E64,508.01250000000005
A65,,T04.7
B65,,"Excavate to remove top soil, average depth to be confirmed, if required"
C65,,93
D65,,m2
E65,,22.425
F65,=C65*E65,2085.525
B66,,Total
F66,=SUM(F57:F65),10068.5375
A68,,EXTERIOR ELEMENTS
A69,,Code
B69,,Description
C69,,Quantity
D69,,Unit
E69,,Rate
F69,,Total
B70,,GENERAL CLARIFICATIONS
A71,,T37.1
B71,,"Refer drawing CQU-ROK-21A-G-ARC-20-01, CQU-ROK-21A-G-ARC-21-00"
D71,,Note
