cell,formula,cached_value
B1,,Project: 
B2,,Tricore   -
B3,,Stage 1 Version 1
A4,,Item  
B6,,BASED ON:
B7,='[2]Staff Costs_Lead Hand'!$B$193,"Work ROSTER Example #3 - 6-Day Week, 10Hr Days, Stay @ Rocky for W/E, Return Every 2nd W/E. (FLY)"
B8,='[2]Staff Costs_Lead Hand'!$E$212,Working Days/Month
C8,='[2]Staff Costs_Lead Hand'!$F$212,21
B9,='[2]Staff Costs_Lead Hand'!$E$213,No-Work Days/Month
C9,='[2]Staff Costs_Lead Hand'!$F$213,7
B10,='[2]Staff Costs_Lead Hand'!$E$214,Avrg Hours / Month
C10,='[2]Staff Costs_Lead Hand'!$F$214,210
B12,,STAFF
C13,,Unit
D13,,REQ
E13,,Cost ex GST
F13,,Total ex GST
B14,='[2]Staff Costs_Lead Hand'!$B$4,TRADESMAN_LEADING HAND
C14,,HR
D14,,1
E14,=E17/$C$10,123.11428571428571
F14,=D14*E14,123.11428571428571
B15,,** for Roster Examples # 3
C15,,DAY
D15,,1
E15,=E17/$C$8,1231.142857142857
F15,=D15*E15,1231.142857142857
B16,=B14,TRADESMAN_LEADING HAND
C16,,WEEK
D16,,1
E16,=E17/4,6463.5
F16,=D16*E16,6463.5
C17,,MONTH
D17,,1
E17,='[2]Staff Costs_Lead Hand'!$F$211,25854
F17,=D17*E17,25854
B19,,QTY Staff in Crew
C19,"=COUNTA(B16,B17,B18)",1
B21,='[2]Staff Costs_Tradesman'!$B$4,TRADESMAN_PLUMBER_OPERATOR
C21,,HR
D21,,1
E21,=E24/$C$10,94.11647284878863
F21,=D21*E21,94.11647284878863
B22,,** for Roster Examples # 3
C22,,DAY
D22,,1
E22,=E24/$C$8,941.1647284878864
F22,=D22*E22,941.1647284878864
B23,=B21,TRADESMAN_PLUMBER_OPERATOR
C23,,WEEK
D23,,1
E23,=E24/4,4941.114824561403
F23,=D23*E23,4941.114824561403
C24,,MONTH
D24,,1
E24,='[2]Staff Costs_Tradesman'!$F$121,19764.459298245612
F24,=D24*E24,19764.459298245612
B26,,QTY Staff in Crew
C26,"=COUNTA(B23,B24,B25)",1
B28,='[2]Staff Costs_TA'!$B$4,T/A & Apprentice
C28,,HR
D28,,1
E28,=E31/$C$10,76.80650793650794
F28,=D28*E28,76.80650793650794
B29,,** for Roster Examples # 3
C29,,DAY
D29,,1
E29,=E31/$C$8,768.0650793650794
F29,=D29*E29,768.0650793650794
