cell,formula,cached_value
A4,,DENIS - Cells highlighted GREEN are complete (By Me).
A8,,PLANT HIRE - WET
D8,,TCS PROJECT USE
G8,,COMPLETED don’t edit
A9,,DESCRIPTION
B9,,Unit
D9,,Hr Rate
E9,,Total
A10,,1.8T Excavator
B10,,Hr
D10,='[4]Plant Hire_WET'!R16,100
A11,, 3-5 ton Excavator
B11,,Hr
D11,='[4]Plant Hire_WET'!R17,115
A12,,3-5T Combo
B12,,Hr
D12,='[4]Plant Hire_WET'!F18,154
A13,,Hammer attachment 3.5-4T
B13,,Hr
D13,='[4]Plant Hire_WET'!F19,21
G13,,COMPLETED don’t edit
A14,, Ripper 3.5-4T
B14,,Hr
D14,='[4]Plant Hire_WET'!F20,10
A15,,     5t Excavator
B15,,Hr
D15,='[4]Plant Hire_WET'!O21,150
A16,,Hammer attachment 5T
B16,,Hr
D16,='[4]Plant Hire_WET'!O22,50
A17,,Skid steer
B17,,Hr
D17,='[4]Plant Hire_WET'!O23,140
A18,,8T Excavator
B18,,Hr
D18,='[4]Plant Hire_WET'!F24,128
G18,,COMPLETED don’t edit
A19,,Hammer attachment 8T
B19,,Hr
D19,='[4]Plant Hire_WET'!F25,26
A20,,Ripper 8T
B20,,Hr
D20,='[4]Plant Hire_WET'!F26,10
A21,,13-15T Excavator
B21,,Hr
D21,='[4]Plant Hire_WET'!F27,153
A22,,Hammer attachment 14T
B22,,Hr
D22,='[4]Plant Hire_WET'!F28,36
A23,,Ripper 14T
B23,,Hr
D23,='[4]Plant Hire_WET'!F29,10
G23,,COMPLETED don’t edit
A24,,3000L Hydro Excavation Truck
B24,,Hr
D24,='[4]Plant Hire_WET'!L30,190
A25,,4500L Hydro Excavation Truck 
B25,,Hr
D25,='[4]Plant Hire_WET'!L31,220
A26,,6300L Hydro Excavation Truck
B26,,Hr
D26,='[4]Plant Hire_WET'!L32,250
A27,,Water Truck allow for water at cost 
B27,,Hr
D27,='[4]Plant Hire_WET'!$R$33,110
A28,,12t Body Truck Tipper
B28,,Hr
D28,='[4]Plant Hire_WET'!$R$34,110
G28,,COMPLETED don’t edit
A33,,SURVEYOR
D33,,TCS PROJECT USE
G33,,COMPLETED don’t edit
A34,,DESCRIPTION
B34,,QTY
D34,,Hr Rate?
E34,,Total
A35,,Site Field Surveyor for all works preformed
B35,,0
