cell,formula,cached_value
N1,, 
N2,, 
B3,, 
B6,,SUMMARY 
V6,,BIG TICKET ITEMS
B8,,JOB DESCRIPTION: 
I8,,CQU Rockhampton TAFE Consolidation - Stage 2 Hydraulic Services
N8,,DATE: 
V8,,ROK 092
B9,,SITE ADDRESS:
I9,,"554/700 Yaamba Road, Norman Gardens QLD 4701"
N9,,TCS Quote #:  **
R10,,Cost
S10,,(Cost + O/H) + Profit
V10,,"TRADE WASTE
HOLDING TANK HOL(1)"
Y10,,ROK 092 - Sanitary Drainage Pump Station SDPS
AB10,,ROK 092 - OIL/WATER SEPARATOR (OWS 2)
N11,,TOTALS
V11,,Purchase Cost Total
W11,,18000
Y11,,Purchase Cost Total
Z11,,35563
AB11,,Purchase Cost Total
AC11,,15932
V13,,TPS Markup
W13,,1.15
Y13,,TPS Markup
Z13,,1.15
AB13,,TPS Markup
AC13,,1.15
B14,,ROK092
V14,,Qty 
W14,,1
Y14,,Qty 
Z14,,1
AB14,,Qty 
AC14,,1
V15,,Freight 
W15,,121
Y15,,Freight 
Z15,,8965
AB15,,Freight 
AC15,,2000
B16,,A
C16,,.
D16,,1
I16,,ROK 092 _ Hydraulic & Fire Services Complete
N16,=S16+Z17+W17+AC17+AC27+Z27+W26+W54+AC36+AC44+Z44+W44,1095606.7465028488
R16,='ROK092'!F908,651013.3564091794
S16,=((R16/$R$64)*($R$74-$R$64))+R16,959447.4265028489
V16,,Installation_MH
W16,,1850
Y16,,Installation_MH
Z16,,1250
AB16,,Installation_MH
AC16,,2500
B17,,A
C17,,.
D17,,1
E17,,.
F17,,1
J17,,"ROK092 - Ground Floor - InGround Services (Drainage, Water, Fire) - internal allocation only, included in complete line above"
M17,=C128,554891.285664268
N17,,0
V17,,TOTAL
W17,=W11*W13*W14+W15+W16,22671
Y17,,TOTAL
Z17,=Z11*Z13*Z14+Z15+Z16,51112.45
AB17,,TOTAL
AC17,=AC11*AC13*AC14+AC15+AC16,22821.8
B18,,A
C18,,.
D18,,1
E18,,.
F18,,2
J18,,Temps_ Plumbing Services and Connections for 'Typical' Construction temps
M18,,8620
N18,=M18,8620
B19,,A
C19,,.
D19,,1
E19,,.
F19,,3
J19,,Supply Hydraulic Fixtures
M19,,0
N19,=F89,86981.51
V19,,ROK 092 - Rainwater Pump 1(Dave KRB4 )
V20,,Purchase Cost Total
W20,,2092
Y20,,ROK 092 - Rainwater Harvesting Filters - RWF (1)
AB20,,"RAIN WATER
HARVESTING
TANK RWHT (1)"
B21,,ROK021A
Y21,,Purchase Cost Total
Z21,,4135
AB21,,Purchase Cost Total
AC21,,13200
V22,,TPS Markup
W22,,1.15
B23,,B
C23,,.
D23,,1
I23,,ROK021A_ Hydraulic & Fire Services Complete
N23,=S23+W65,81315.80178088859
R23,=ROK21A!F853,54039.91026757662
S23,=((R23/$R$64)*($R$74-$R$64))+R23,79642.68678088859
V23,,Qty 
W23,,1
Y23,,TPS Markup
Z23,,1.15
AB23,,TPS Markup
AC23,,1.15
B24,,B
C24,,.
D24,,1
E24,,.
F24,,1
J24,,Temps_ Plumbing Services and Connections for 'Typical' Construction temps
M24,,500
N24,=M24,500
V24,,Freight 
W24,,121
Y24,,Qty 
Z24,,1
AB24,,Qty 
AC24,,1
B25,,B
C25,,.
D25,,1
E25,,.
F25,,2
J25,,Supply Hydraulic Fixtures
M25,,0
N25,=F90,2894.14
V25,,Installation_MH
W25,,1000
Y25,,Freight 
Z25,,121
AB25,,Freight 
V26,,TOTAL
W26,=W20*W22*W23+W24+W25,3526.7999999999997
Y26,,Installation_MH
Z26,,1000
AB26,,Installation_MH
AC26,,1000
B27,,ROK019
Y27,,TOTAL
Z27,=Z21*Z23*Z24+Z25+Z26,5876.25
AB27,,TOTAL
AC27,=AC21*AC23*AC24+AC25+AC26,16179.999999999998
B29,,C
C29,,.
D29,,1
I29,,ROK019_ Hydraulic & Fire Services Complete
N29,=S29+W77+Z77,208524.7597640579
R29,='ROK019'!F854,137986.01125379285
S29,=((R29/$R$64)*($R$74-$R$64))+R29,203360.3797640579
B30,,C
C30,,.
D30,,1
E30,,.
F30,,1
J30,,Temps_ Plumbing Services and Connections for 'Typical' Construction temps
M30,,3840
N30,=M30,3840
V30,,ROK 092 - Boiling/ Chilled /Hot Water Unit BCHWU (1)
Y30,,ROK 092 - Boiling Chilled water unit BCWU (1)
AB30,,ROK 092 - HWU 4 DHE27
B31,,C
C31,,.
D31,,1
E31,,.
F31,,2
J31,,Supply Hydraulic Fixtures
M31,,0
N31,=F91,15642.67
V31,,Purchase Cost Total
W31,,6930.1
Y31,,Purchase Cost Total
Z31,,4056.3
AB31,,Purchase Cost Total
AC31,,1432.3
Y32,,FONT KID 
Z32,,415.3
B33,,ROK033
V33,,TPS Markup
W33,,1.15
Y33,,TPS Markup
Z33,,1.15
AB33,,TPS Markup
AC33,,1.15
V34,,Qty 
W34,,1
Y34,,Qty 
Z34,,1
AB34,,Qty 
AC34,,1
B35,,D
C35,,.
D35,,1
I35,,ROK033_ Hydraulic & Fire Services Complete
N35,=S35+W88+Z88+AC88,402815.2127460333
R35,='ROK033'!F860,264906.62372489716
S35,=((R35/$R$64)*($R$74-$R$64))+R35,390412.84774603334
V35,,Installation_MH
Y35,,Installation_MH
AB35,,Installation_MH
AC35,,500
B36,,D
C36,,.
D36,,1
E36,,.
F36,,1
J36,,Temps_ Plumbing Services and Connections for 'Typical' Construction temps
M36,,3840
N36,=M36,3840
V36,,TOTAL
W36,=W31*W33*W34+W35,7969.615
Y36,,TOTAL
Z36,=Z31*Z33*Z34+Z32+Z35,5080.045
