cell,formula,cached_value
B2,,SECTION A 
B3,,STORMWATER DRAINAGE
B4,,Description
C4,,Qty
D4,,Unit
E4,,Rate
F4,,Total
B6,,rcp/frc
B7,,PIPE 675MM - RCP_C3
D7,,m
E7,,270
F7,=C7*E7,0
B8,,PIPE 600MM - RCP_C4
D8,,m
E8,=13169/60,219.48333333333332
F8,=C8*E8,0
B9,,allow for 600 rubber ring 
C9,,1
D9,,ea
E9,,24
F9,=C9*E9,24
B10,,PIPE 600MM - RCP_C3
C10,,5
D10,,m
E10,=896/5,179.2
F10,=C10*E10,896
B11,,PIPE 525MM - RCP_C4
D11,,m
E11,,187
F11,=C11*E11,0
B12,,PIPE 525MM - RCP_C3
D12,,m
E12,,140.91
F12,=C12*E12,0
B13,,PIPE 450MM - RCP_C4
D13,,m
E13,=7072.78/53,133.44867924528302
F13,=C13*E13,0
B14,,allow for 450 rubber ring 
D14,,ea
E14,,14.68
F14,=C14*E14,0
B15,,PIPE 375MM - RCP_C4
C15,=31+696,727
D15,,m
E15,=76604/727,105.37001375515818
F15,=C15*E15,76604
B16,,allow for 375 rubber ring 
C16,,1
D16,,ea
E16,,1435.2
F16,=C16*E16,1435.2
B17,,PIPE 375MM - RCP_C3
D17,,m
E17,,87.11
F17,=C17*E17,0
B18,,PIPE 375MM - RCP_C2
D18,,m
E18,,87.11
F18,=C18*E18,0
B19,,SW_SN8 RIBBED (Blackmax or similar)
D19,,m
B21,,PIPE Ribbed RRJ 1050MM
D21,,m
E21,=46246/111,416.6306306306306
F21,=C21*E21,0
B22,,PIPE Ribbed RRJ 900MM
D22,,m
E22,=39160/127,308.34645669291336
F22,=C22*E22,0
B23,,PIPE Ribbed RRJ 825MM
D23,,m
F23,=C23*E23,0
B24,,PIPE Ribbed RRJ 750MM
D24,,m
E24,=21376/96,222.66666666666666
F24,=C24*E24,0
B25,,PIPE Ribbed RRJ 675MM
D25,,m
E25,,232
F25,=C25*E25,0
B26,,PIPE Ribbed RRJ 600MM
C26,,39
D26,,m
E26,=5803/39,148.7948717948718
F26,=C26*E26,5803
B27,,PIPE Ribbed RRJ 525MM
D27,,m
E27,=9366/81,115.62962962962963
F27,=C27*E27,0
B28,,PIPE Ribbed RRJ 450MM
C28,,42
D28,,m
E28,=3724/42,88.66666666666667
F28,=C28*E28,3724
B29,,PIPE Ribbed RRJ 375MM
C29,,211
D29,,m
E29,=12708/211,60.22748815165877
F29,=C29*E29,12708
B30,,PIPE Ribbed RRJ 300MM
C30,,59
D30,,m
E30,=2350/59,39.83050847457627
F30,=C30*E30,2350
B31,,PIPE Ribbed RRJ 225MM
C31,,138
D31,,m
E31,=3473/138,25.166666666666668
F31,=C31*E31,3473
B32,,PIPE Ribbed RRJ 150MM
D32,,m
E32,,9.72
F32,=C32*E32,0
B33,,Jointing Lubricant 1 liter 
C33,,10
D33,,ea
E33,,17
F33,=C33*E33,170
B35,,SW_SN8 PVC Pipeline
B36,,PIPE DWV SN8 PVC S/WELD  375MM
D36,,m
E36,,96.33
F36,=C36*E36,0
B37,,PIPE DWV SN4 PVC S/WELD  300MM
D37,,m
E37,,49.833333333333336
F37,=C37*E37,0
B38,,PIPE SW H/D PVC S/WELD  300MM
D38,,m
E38,,40
F38,=C38*E38,0
B39,,PIPE DWV SN8 PVC S/WELD  225MM
C39,,181
D39,,m
E39,=12816/181,70.80662983425414
F39,=C39*E39,12816
B40,,PIPE DWV SN4 PVC S/WELD  225MM
D40,,m
E40,,31
F40,=C40*E40,0
B41,,50mm PVC Class 12
D41,,m
E41,,18
F41,=C41*E41,0
B42,,PIPE DWV SN8 PVC S/WELD  150MM
C42,,63
D42,,m
E42,,25.5
F42,=C42*E42,1606.5
B43,,PIPE DWV SN4 PVC S/WELD  150MM
D43,,m
E43,,11.666666666666666
F43,=C43*E43,0
B44,,PIPE DWV SN4 PVC S/WELD  100MM
C44,,284
D44,,m
E44,,15
F44,=C44*E44,4260
B45,,SW Grade Option
B46,,300MM * 45D PVC SW JUNCTION
D46,,ea
E46,,159
F46,=C46*E46,0
B47,,300X225X45D PVC SW JUNCTION
D47,,ea
E47,,141.5
F47,=C47*E47,0
B48,,300MM X 225MM SW Reducer
D48,,ea
E48,,45
F48,=C48*E48,0
B49,,300MM X 90Deg SW Bend (stud)
D49,,ea
E49,,49
F49,=C49*E49,0
B50,,300MM X 45Deg SW Bend
D50,,ea
E50,,44
F50,=C50*E50,0
B51,,225MM * 45D PVC SW JUNCTION
C51,,1
D51,,ea
E51,,60.1
F51,=C51*E51,60.1
B52,,225X150X45D PVC SW JUNCTION
D52,,ea
E52,,37
F52,=C52*E52,0
B53,,225X100X45D PVC SW JUNCTION
C53,,11
D53,,ea
E53,,38.55
F53,=C53*E53,424.04999999999995
B54,,225MM X 90Deg SW Bend
C54,,1
D54,,ea
E54,,23.5
F54,=C54*E54,23.5
B55,,225MM X 45Deg SW Bend
D55,,ea
E55,,15
F55,=C55*E55,0
B56,,150 PVC SW 45Deg Junct
D56,,ea
E56,,12.5
F56,=C56*E56,0
