cell,formula,cached_value
C1,,2022-12-23 00:00:00
G2,,Total Qty
C3,,600 Grte/frm Height
E3,,0.055
C4,,600*900 Grte/frm Height
E4,,0.08
C5,,1.2*1.2 Grte/frm Height
E5,,0.14
C6,,1200*9*6 ASPRO Height
E6,,0.175
C7,,600 infl Height
E7,,0.055
C8,,600 V Grate Height
E8,,0.15
C9,,600 Pit Base Height
E9,,0.6
C10,,600 Pit Riser Height
E10,,0.15
C11,,600 Pit Riser Height
E11,,0.3
C12,,600 Pit Riser Height
E12,,0.6
C13,,600 Pit Riser Height
E13,,0.9
C14,,900*900 Pit Base Height
E14,,0.9
C15,,600*900 Pit Riser Height
E15,,0.15
C16,,600*900 Pit Riser Height
E16,,0.3
C17,,600*900 Pit Riser Height
E17,,0.6
C18,,600*900 Pit Riser Height
E18,,0.9
C19,,1050 Chmbr Base Height
E19,,1.2
F19,,1200
C20,,1050 Chmbr Riser Height
E20,,0.15
C21,,1050 Chmbr Riser Height
E21,,0.3
C22,,1050 Chmbr Riser Height
E22,,0.6
C23,,1050 Chmbr Riser Height
E23,,0.9
C24,,1050 Chmbr Riser Height
E24,,1.2
D25,,1200*1200*200
E25,,0.2
AG25,,0.2for1.2
O26,,Manual calc
AD26,,V3 
AG26,,Manual calc
AV26,,V3 
AX26,,Manual calc
C27,,Pit Count
D27,,PIT No.
E27,,Grate RL
F27,,Type
G27,,Grate Size
H27,,Chamber
I27,,Outlet IL
J27,,Depth
M27,,Riser Height Req. w/ base
O27,,0.15 Riser
P27,,0.3 Riser
Q27,,0.6 Riser
R27,,0.9 Riser
T27,,Pit riser difference
V27,,Pit Count
W27,,PIT No.
X27,,Grate RL
Y27,,Type
Z27,,Grate Size
AA27,,Chamber
AB27,,Outlet IL
AC27,,Depth
AE27,,Riser Height Req. w/base
AG27,,0.15 Riser
AH27,,0.3 Riser
AI27,,0.6 Riser
AJ27,,0.9 Riser
AK27,,Pit riser difference
AM27,,Pit Count
AN27,,PIT No.
AO27,,Grate RL
AP27,,Type
AQ27,,Grate Size
AR27,,Chamber
AS27,,Outlet IL
AT27,,Depth
AW27,,Riser Height Req. w/ base
AX27,,0.15 Riser
AY27,,0.3 Riser
AZ27,,0.6 Riser
BA27,,0.9 Riser
BB27,,Pit riser difference
J28,=E28-I28,0
M28,=J28-$E$14-$E$4,-0.98
T28,=M28-(O28*$E$10)-(P28*$E$11)-(Q28*$E$12)-(R28*$E$13),-0.98
V28,,21
AC28,,0.89
AD28,,1
AE28,=AC28-$E$3-$E$9,0.235
AK28,=AE28-(AG28*$E$25)-(AH28*$E$11)-(AI28*$E$12)-(AJ28*$E$13),0.235
AM28,,40
AN28,,46
AT28,,1.41
AV28,=AT28-$E$9-$E$8,0.6599999999999999
AW28,=AT28-$E$5-$E$19,0.07000000000000006
BB28,=AW28-(AX28*$E$25)-(AY28*$E$11)-(AZ28*$E$12)-(BA28*$E$13),0.07000000000000006
J29,=E29-I29,0
M29,=J29-$E$14-$E$4,-0.98
T29,=M29-(O29*$E$10)-(P29*$E$11)-(Q29*$E$12)-(R29*$E$13),-0.98
V29,,22
AC29,,0.94
AD29,=Y29-AC29,-0.94
AE29,=AC29-0.045-$E$14,-0.0050000000000001155
AK29,=AE29-(AG29*$E$10)-(AH29*$E$11)-(AI29*$E$12)-(AJ29*$E$13),-0.0050000000000001155
AM29,,42
AN29,,47
AT29,,1.68
AV29,=AT29-$E$9-$E$8,0.93
AW29,=AT29-$E$5-$E$19,0.3400000000000001
BB29,=AW29-(AX29*$E$10)-(AY29*$E$11)-(AZ29*$E$12)-(BA29*$E$13),0.3400000000000001
J30,=E30-I30,0
M30,=J30-$E$4-$E$6-$E$19,-1.455
T30,=M30-(O30*$E$10)-(P30*$E$11)-(Q30*$E$12)-(R30*$E$13),-1.455
V30,,23
AC30,,0.91
AE30,=AC30-$E$4-$E$14,-0.06999999999999995
AK30,=AE30-(AG30*$E$10)-(AH30*$E$11)-(AI30*$E$12)-(AJ30*$E$13),-0.06999999999999995
AM30,,43
AT30,=AO30-AS30,0
AV30,=AT30-$E$9-$E$8,-0.75
AW30,=AT30-$E$4-$E$14,-0.98
BB30,=AW30-(AX30*$E$10)-(AY30*$E$11)-(AZ30*$E$12)-(BA30*$E$13),-0.98
J31,=E31-I31,0
M31,=J31-$E$4-$E$6-$E$19,-1.455
T31,=M31-(O31*$E$25)-(P31*$E$11)-(Q31*$E$12)-(R31*$E$13),-1.455
V31,,24
AC31,,0.92
AD31,,2.1000000000000014
AE31,=AC31-$E$4-$E$14,-0.05999999999999994
AK31,=AE31-(AG31*$E$10)-(AH31*$E$11)-(AI31*$E$12)-(AJ31*$E$13),-0.05999999999999994
AM31,,44
AT31,=AO31-AS31,0
AV31,=AT31-$E$9-$E$8,-0.75
AW31,=AT31-$E$4-$E$14,-0.98
BB31,=AW31-(AX31*$E$10)-(AY31*$E$11)-(AZ31*$E$12)-(BA31*$E$13),-0.98
J32,=E32-I32,0
