cell,formula,cached_value
B1,,Project: 
B2,,Tricore   -
B3,,Stage 1 Version 1
A4,,Item  
B6,,BASED ON:
B7,,"6 - Day Week, 10Hr Day"
F7,,2023 Staff Cost increase
G7,,Project total cost
H7,,Difference
B8,,Working Days/Month
C8,,24
F8,,Current
B9,,No-Work Days/Month
C9,,4
F9,,0.025
G9,=G8+(G8*F9),0
H9,=G9-G8,0
B10,,Avrg Hours / Day
C10,,8.75
F10,,0.05
G10,=G9+(G9*F10),0
H10,=G10-$G$8,0
B11,,Avrg Days / Week
C11,,6
F11,,0.075
G11,=G10+(G10*F11),0
H11,=G11-$G$8,0
B12,,Avrg Hours / Month
C12,=C10*C8,210
F12,,0.1
G12,=G11+(G11*F12),0
H12,=G12-$G$8,0
B14,,STAFF
G14,,Hourly Rate + 2.5%
H14,,Hourly Rate + 5%
I14,,Hourly Rate + 7.5%
J14,,Hourly Rate + 10%
C15,,Unit
D15,,REQ
E15,,Cost ex GST
F15,,Total ex GST
B16,,TRADESMAN_LEADING HAND
C16,,HR
D16,,1
E16,,94
F16,=D16*E16,94
G16,=E16+(F16*$F$9),96.35
H16,=E16+(E16*$F$10),98.7
I16,=E16+(E16*$F$11),101.05
J16,=E16+(E16*$F$12),103.4
C17,,DAY
D17,,1
E17,=E16*$C$10,822.5
F17,=D17*E17,822.5
G17,=G16*$C$10,843.0625
H17,=H16*$C$10,863.625
I17,=I16*$C$10,884.1875
J17,=J16*$C$10,904.75
B18,=B16,TRADESMAN_LEADING HAND
C18,,WEEK
D18,,1
E18,=E17*$C$11,4935
F18,=D18*E18,4935
G18,=G17*$C$11,5058.375
H18,=H17*$C$11,5181.75
I18,=I17*$C$11,5305.125
J18,=J17*$C$11,5428.5
C19,,MONTH
D19,,1
E19,=E17*$C$8,19740
F19,=D19*E19,19740
G19,=G17*$C$8,20233.5
H19,=H17*$C$8,20727
I19,=I17*$C$8,21220.5
J19,=J17*$C$8,21714
B21,,QTY Staff in Crew
C21,"=COUNTA(B18,B19,B20)",1
B23,,Crew #1
C23,,HR
D23,,1
E23,=E44*2+E51,246
F23,=D23*E23,246
G23,=E23+(F23*$F$9),252.15
H23,=E23+(E23*$F$10),258.3
I23,=E23+(E23*$F$11),264.45
J23,=E23+(E23*$F$12),270.6
C24,,DAY
D24,,1
E24,=E23*$C$10,2152.5
F24,=D24*E24,2152.5
G24,=G23*$C$10,2206.3125
H24,=H23*$C$10,2260.125
