cell,formula,cached_value
A3,,FIRE SERVICES - IN GROUND
A4,,Description
B4,,Unit
D4,,Rate
F4,,Total
I4,,Qty
A5,,200 HDPE PN16 SDR11 - REDLINE
B5,,m
D5,='[3]240522_Supplier RFQ'!F16,33.920833333333334
F5,=I5*D5,16282
G5,,COMPLETED don’t edit
I5,,480
A6,,180 HDPE PN16 SDR11 - REDLINE
B6,,m
D6,='[3]240522_Supplier RFQ'!F17,25.46666666666667
F6,=I6*D6,128657.6
I6,,5052
A7,,125 HDPE PN16 SDR11 - REDLINE
B7,,m
D7,='[3]240522_Supplier RFQ'!F18,12.314166666666667
F7,=I7*D7,13151.53
I7,,1068
A8,,32 HDPE PN16 SDR11 - BLUELINE
B8,,m
D8,='[3]240522_Supplier RFQ'!F19,1.2159
F8,=I8*D8,121.59
I8,,100
A10,,200 EF Coupler
B10,,ea
D10,='[3]240522_Supplier RFQ'!F21,44.06
F10,=I10*D10,1321.8000000000002
G10,,COMPLETED don’t edit
I10,,30
A11,,180 EF Coupler
B11,,ea
D11,='[3]240522_Supplier RFQ'!F22,25.72
F11,=I11*D11,5144
I11,,200
A12,,125 EF Coupler
B12,,ea
D12,='[3]240522_Supplier RFQ'!F23,14.11
F12,=I12*D12,1411
I12,,100
A13,,200 EF 45DFeg Bend
B13,,ea
D13,='[3]240522_Supplier RFQ'!F24,109.16
F13,=I13*D13,218.32
I13,,2
A14,,180 EF 45DFeg Bend
B14,,ea
D14,='[3]240522_Supplier RFQ'!F25,97.97
F14,=I14*D14,12736.1
I14,,130
A15,,125 EF 45DFeg Bend
B15,,ea
D15,='[3]240522_Supplier RFQ'!F26,44.69
F15,=I15*D15,1117.25
G15,,COMPLETED don’t edit
I15,,25
A16,,200 EF 90DFeg Bend
B16,,ea
D16,='[3]240522_Supplier RFQ'!F27,109.16
F16,=I16*D16,654.96
I16,,6
A17,,180 EF 90DFeg Bend
B17,,ea
D17,='[3]240522_Supplier RFQ'!F28,97.81
F17,=I17*D17,7824.8
I17,,80
A18,,125 EF 90DFeg Bend
B18,,ea
D18,='[3]240522_Supplier RFQ'!F29,44.65
F18,=I18*D18,3572
I18,,80
A19,,200 EF TEE
B19,,ea
D19,='[3]240522_Supplier RFQ'!F30,109.75
F19,=I19*D19,329.25
I19,,3
A20,,180 EF TEE
B20,,ea
D20,='[3]240522_Supplier RFQ'!F31,114.28
F20,=I20*D20,4571.2
G20,,COMPLETED don’t edit
I20,,40
A21,,125 EF TEE
B21,,ea
D21,='[3]240522_Supplier RFQ'!F32,49.25
F21,=I21*D21,49.25
I21,,1
A22,,200*180 EF TEE
B22,,ea
D22,='[3]240522_Supplier RFQ'!F33,209.47
F22,=I22*D22,418.94
I22,,2
A23,,200*125 EF TEE
B23,,ea
D23,='[3]240522_Supplier RFQ'!F34,218.42000000000002
F23,=I23*D23,436.84000000000003
I23,,2
A24,,180*125 EF TEE
B24,,ea
D24,='[3]240522_Supplier RFQ'!F35,122.13
F24,=I24*D24,4885.2
I24,,40
A25,,200*180 EF Reducer
B25,,ea
D25,='[3]240522_Supplier RFQ'!F36,125.62
F25,=I25*D25,502.48
G25,,COMPLETED don’t edit
I25,,4
A26,,180*125 EF Reducer
B26,,ea
D26,='[3]240522_Supplier RFQ'!F37,60.1
F26,=I26*D26,1202
I26,,20
A27,,"200PE*8""(200m) - MaxiStub W/Backing Ring"
B27,,ea
D27,='[3]240522_Supplier RFQ'!F38,342.35
F27,=I27*D27,3423.5
I27,,10
A28,,"180PE*6""(150mm) - MaxiStub W/Backing Ring"
B28,,ea
D28,='[3]240522_Supplier RFQ'!F39,129.77
F28,=I28*D28,7786.200000000001
I28,,60
A29,,"125PE*4"" (100mm) - MaxiStub W/Backing Ring"
B29,,ea
D29,='[3]240522_Supplier RFQ'!F40,92.67
F29,=I29*D29,1853.4
I29,,20
A30,,180mm PE x 150mm GALV ADAPTER - PLASSON Brand 
B30,,ea
