cell,formula,cached_value
N1,, 
N2,, 
B3,, 
B6,,SUMMARY 
V6,,BIG TICKET ITEMS
B8,,JOB DESCRIPTION: 
I8,,ROK Sports Precinct
N8,,DATE: 
V8,,Club house (NBC ) 
B9,,SITE ADDRESS:
N9,,TCS Quote #:  **
R10,,Cost
S10,,(Cost + O/H) + Profit
V10,,1500 Liters Git Viking Panel TIm in Ground ( grease trap )
Y10,,Hot Water Pump set to suit Rheem Hot Water Unit
AB10,,Rheem HWU
N11,,TOTALS
V11,,Purchase Cost Total
W11,=6110+2413.28,8523.28
Y11,,Purchase Cost Total
Z11,,6775.83
AB11,,Purchase Cost Total
AC11,,3438.29
AB12,,Safe Tray 
AC12,,52.8
V13,,TPS Markup
W13,,1.15
Y13,,TPS Markup
Z13,,1.15
AB13,,TPS Markup
AC13,,1.15
V14,,Qty 
W14,,1
Y14,,Qty 
Z14,,1
AB14,,Qty 
AC14,,3
V15,,Freight 
W15,,250
Y15,,Freight 
Z15,,150
AB15,,Freight 
AC15,,300
I16,,CLUBHOUSE
N16,=S16+W17+Z17,81329.7026986193
R16,='ClubHouse (NBC )'!F943,43152.217250133326
S16,=((R16/$R$39)*($R$49-$R$39))+R16,62885.7261986193
V16,,Installation_MH
W16,,250
Y16,,Installation_MH
Z16,,200
AB16,,Installation_MH
AC16,,600
V17,,TOTAL
W17,=W11*W13*W14+W15+W16,10301.772
Y17,,TOTAL
Z17,=Z11*Z13*Z14+Z15+Z16,8142.204499999999
AB17,,TOTAL
AC17,=(AC11+AC12)*AC13*AC14+AC15+AC16,12944.2605
V21,,Public Amenities Block
I23,,PUBLIC AMENITIES
N23,=S23+W31,17272.78542225508
R23,='Public Amenities (PAM)'!F864,8857.4980596
S23,=((R23/$R$39)*($R$49-$R$39))+R23,12908.031922255082
V24,,Rheem HWU
V25,,Purchase Cost Total
W25,,3438.29
V26,,Safe Tray 
W26,,52.8
V27,,TPS Markup
W27,,1.15
V28,,Qty 
W28,,1
I29,,SITEWORKS
N29,=S29,174454.05676749907
R29,='Siteworks '!F874,119710.4623396
S29,=((R29/$R$39)*($R$49-$R$39))+R29,174454.05676749907
V29,,Freight 
W29,,150
V30,,Installation_MH
W30,,200
V31,,TOTAL
W31,=(W25+W26)*W27*W28+W29+W30,4364.7535
V34,,Site Work
V36,,QMax Sewer Pumping Station - As Specified APS Quote 
V37,,Purchase Cost Total
W37,,468000
R39,=SUM(R13:R38),171720.17764933332
S39,=SUM(S13:S26),75793.75812087438
V39,,TPS Markup
W39,,1.15
V40,,Qty 
W40,,1
V41,,Freight 
W41,,2500
P42,,Prelim
Q42,,0.055
R42,=R39*Q42,9444.609770713332
S42,,of total cost
V42,,Installation_MH
W42,,5000
P43,,O/H
Q43,,0.18
R43,=R39*Q43,30909.631976879995
S43,,of total cost
V43,,TOTAL
W43,=W37*W39*W40+W41+W42,545700
P45,,Sub Total
R45,=SUM(R39:R44),212074.41939692665
S45,,total cost + Prelim + O/H
P47,,Gross Profit
Q47,,0.18
R47,=R45*Q47,38173.3954914468
S47,,Gross
R49,=SUM(R45:R47),250247.81488837345
P51,,Total Markup
Q51,=SUM(Q42:Q50),0.415
P53,,Net Profit Incl Equip
R53,=R48,0
M64,,SUB-TOTAL
N64,=SUM(N16:N63),273056.54488837346
M66,,10% GST
N66,=N64*0.1,27305.654488837346
P67,,Prelim
Q67,=R42/R39,0.055
M68,,GRAND TOTAL
N68,=N64+N66,300362.1993772108
P68,,O/H
Q68,=R43/R39,0.18
Q69,,.
P70,,Sub Total
P72,,Profit
Q72,,0.18
P73,,Total Markup
Q73,=SUM(Q67:Q72),0.415
P74,,Grand Total
